id,Budget
12444,250000000.0
10191,165000000.0
10138,200000000.0
862,30000000.0
27205,160000000.0
32657,95000000.0
19995,237000000.0
10193,200000000.0
20352,69000000.0
38055,130000000.0
863,90000000.0
12155,200000000.0
27578,80000000.0
38757,260000000.0
41439,20000000.0
24021,68000000.0
20504,80000000.0
52371,0.0
2502,75000000.0
11324,80000000.0
2501,60000000.0
37834,117000000.0
10140,155000000.0
41233,30000000.0
34544,110000000.0
45269,15000000.0
9737,19000000.0
10196,150000000.0
34851,40000000.0
37799,40000000.0
38234,3000000.0
568,52000000.0
95,140000000.0
2503,70000000.0
18823,125000000.0
34806,35000000.0
20662,200000000.0
35019,35000000.0
10192,165000000.0
37735,8000000.0
27022,150000000.0
22538,85000000.0
38365,80000000.0
239,2883848.0
41283,24000000.0
7978,150000000.0
44048,100000000.0
44214,13000000.0
44683,0.0
61979,0.0
23759,12000000.0
27581,100000000.0
23168,37000000.0
20533,47000000.0
20526,170000000.0
9543,200000000.0
9994,14000000.0
7980,65000000.0
705,1400000.0
44264,38000000.0
43947,2000000.0
23483,28000000.0
51888,0.0
27576,110000000.0
47626,0.0
26389,52000000.0
40662,0.0
42949,70200000.0
23023,48000000.0
23631,10500000.0
25376,2000000.0
35056,55000000.0
41733,65000000.0
31867,32000000.0
43641,0.0
28874,0.0
38575,40000000.0
33217,15000000.0
29427,20000000.0
33613,4000000.0
39451,100000000.0
39514,58000000.0
22971,25000000.0
22894,26000000.0
37933,22000000.0
25195,19000000.0
38408,38000000.0
24253,4422952.0
38363,22000000.0
44244,0.0
22972,100000000.0
30061,0.0
23169,16000000.0
44115,18000000.0
47533,0.0
43593,24000000.0
37861,5650000.0
12201,80000000.0
35552,25000000.0
32856,52000000.0
43539,30000000.0
50393,0.0
26388,1987650.0
11645,11500005.0
41135,0.0
38745,112000000.0
41216,80000000.0
23172,28000000.0
16290,20000000.0
13078,0.0
15357,15000000.0
10664,5600000.0
51170,0.0
38357,40000000.0
25941,7300000.0
39691,85000000.0
45317,25000000.0
27,1000000.0
37710,100000000.0
40080,0.0
830,1900000.0
34134,0.0
14756,11700000.0
37821,75000000.0
38303,20000000.0
44040,10000000.0
34813,25000000.0
44629,5000000.0
33909,70000000.0
43933,500000.0
23048,36000000.0
14447,0.0
43347,30000000.0
40205,0.0
42188,15000000.0
43923,8000000.0
38167,60000000.0
37786,100000000.0
37495,3900000.0
13477,55000000.0
27573,40000000.0
39013,2000000.0
52338,0.0
43931,25000000.0
23437,35000000.0
43949,14000000.0
41402,20000000.0
38199,15000000.0
44363,0.0
29564,8000000.0
34647,13000000.0
55890,2000000.0
44639,2000000.0
101669,11000000.0
7340,1800000.0
37950,44000000.0
35169,35000000.0
45324,12500000.0
35558,0.0
39285,0.0
36419,4500000.0
44009,8000000.0
37056,30000000.0
27585,5000000.0
44147,8000000.0
38358,1800000.0
43549,21800000.0
50135,0.0
26715,0.0
41211,8700000.0
35690,20000000.0
48415,4000000.0
46838,5000000.0
41515,80000000.0
38542,800000.0
36950,0.0
39486,35000000.0
27579,20000000.0
46705,1000000.0
40264,20000000.0
46738,6800000.0
22907,32000000.0
278604,
45162,3500000.0
42684,10500000.0
23742,30000000.0
28211,14000000.0
52015,650000.0
50618,8500000.0
59490,0.0
34480,6000200.0
44918,0.0
31967,0.0
37645,24000000.0
39452,0.0
48650,0.0
42297,55000000.0
56272,0.0
68341,0.0
52587,0.0
56743,0.0
34583,1000000.0
43919,2500000.0
45523,0.0
27004,7000000.0
38579,50000000.0
32823,40000000.0
59457,3100000.0
48838,25000000.0
40720,0.0
71883,0.0
39781,3500000.0
12685,10000000.0
11761,0.0
46261,25000000.0
41201,18000000.0
44113,22000000.0
31007,0.0
45649,500000.0
30618,25000000.0
38073,32000000.0
52274,0.0
46528,42000000.0
23830,7000000.0
44718,700000.0
40794,7000000.0
27586,10000000.0
51736,0.0
41436,3000000.0
43956,0.0
13635,25000000.0
52454,100000.0
36800,5060730.0
44129,15000000.0
12819,20000000.0
50479,0.0
42941,0.0
54559,0.0
30675,0.0
44982,0.0
